Name,Date,Grade,Price
DANETTE,23/03/2008,B,58574
LINDA,20/06/2008,A,79893
BEATRIS,14/11/2008,E,12637
,8/11/2008,C,42163
HERMINE,17/09/2008,D,38799
VIRGEN,4/07/2008,E,20873
ELFRIEDA,10/09/2008,E,23928
ARTURO,9/10/2008,B,62533
JOHNATHAN,18/06/2008,E,23863
VIOLETA,26/04/2008,C,48915
JENIFFER,26/11/2008,D,
,31/10/2008,C,37769
CARLENA,1/07/2008,D,38146
MARI,21/12/2008,B,63060
SPRING,3/03/2008,D,37901
EDMUNDO,19/07/2008,E,24488
RACQUEL,4/09/2008,D,38164
SHARIE,30/06/2008,D,36071
AKIKO,12/11/2008,D,
KIZZIE,21/11/2008,C,
DANITA,14/10/2008,B,54914
RICKIE,30/10/2008,C,42967
JASMINE,13/07/2008,B,57334
ALEXANDRIA,15/11/2008,E,19787
MERIDITH,10/11/2008,C,46235
,20/12/2008,E,19545
LINO,23/10/2008,E,20918
,21/10/2008,E,24175
NINA,22/09/2008,C,43533
,25/04/2008,B,64824
NILSA,5/07/2008,C,47890
SHARITA,20/05/2008,E,21967
,27/07/2008,A,72326
NOAH,10/03/2008,B,59822
SILAS,26/07/2008,D,16522
VELIA,10/10/2008,C,49467
CHARLEY,5/11/2008,D,
ANDREA,17/09/2008,C,49746
YULANDA,27/12/2008,A,71214
CHARLETTE,19/08/2008,C,46964
CHRISTOPER,4/11/2008,C,35449
TAISHA,25/07/2008,C,47515
CAROLINA,21/12/2008,D,28195
DARRELL,30/07/2008,C,46978
DEBRAH,20/06/2008,E,10438
ALLIE,30/11/2008,D,37299
DYAN,9/05/2008,D,38445
CREOLA,26/11/2008,D,38648
ABE,10/07/2008,C,44307
ANTONIO,17/10/2008,E,21374
ELIZEBETH,30/06/2008,E,19906
CAMELIA,27/09/2008,D,37005
SHILA,12/11/2008,E,21797
IRMA,13/09/2008,C,47394
GIL,1/09/2008,D,32371
ELDORA,17/07/2008,E,16196
GWEN,30/08/2008,B,56990
AUGUSTUS,12/08/2008,C,46260
MARY,1/09/2008,D,36148
CHRISTIANA,21/06/2008,E,24381
ELIZBETH,6/07/2008,E,20601
MONTY,10/04/2008,D,35468
CLEVELAND,30/11/2008,B,60869
ZACHARY,2/10/2008,A,76037
KARMA,31/03/2008,C,47754
AUREA,21/06/2008,D,34526
MASON,25/10/2008,D,17379
PORSCHE,22/10/2008,C,43047
DIONNE,12/11/2008,E,19044
RORY,7/10/2008,E,
DONTE,14/08/2008,E,15487
ARVILLA,16/09/2008,E,19660
COLE,15/09/2008,E,24537
,10/08/2008,A,
CRISTY,6/12/2008,C,43025
ELLIS,21/10/2008,A,79231
KAREN,24/03/2008,C,39398
LYNETTA,26/12/2008,C,46980
LARAE,22/10/2008,C,
TRENA,12/06/2008,,37487
RETTA,7/07/2008,E,24073
JEANETTA,29/03/2008,A,73463
SOLANGE,16/11/2008,E,22601
LE,20/07/2008,B,64561
LARRY,14/09/2008,,57075
MENDY,1/09/2008,E,20437
SIDNEY,5/09/2008,D,38977
HENRIETTE,13/08/2008,D,38928
JACKELINE,12/02/2008,E,8257
AZALEE,10/12/2008,C,48429
LORILEE,19/03/2008,E,
PATRINA,20/03/2008,E,20707
DAYSI,12/11/2008,C,39388
CARISA,10/07/2008,E,21586
MARINDA,5/05/2008,D,31062
MERRILEE,6/10/2008,D,35538
RIVA,30/12/2008,E,21842
